Occupation,Skills,English Level,Location Preference,Course Chosen
Architect,"['Construction Management', 'Building Design', '3D Modeling', 'AutoCAD']",Intermediate,Western Australia,Master of Architecture
Accountant,"['Budgeting', 'Taxation']",Fluent,Victoria,Bachelor of Accounting
Civil Engineer,"['Cost Estimation', 'AutoCAD', 'Structural Analysis']",Basic,New South Wales,Bachelor of Civil Engineering
Civil Engineer,"['AutoCAD', 'Structural Analysis', 'Cost Estimation']",Fluent,Regional Australia,Bachelor of Civil Engineering
Software Engineer,"['Machine Learning', 'AWS', 'Python', 'Java']",Fluent,Victoria,Master of Computer Science
Mechanical Engineer,"['Thermodynamics', 'SolidWorks', 'Mechanical Design', 'Fluid Dynamics']",Advanced,South Australia,Bachelor of Mechanical Engineering
Graphic Designer,"['Illustrator', 'InDesign']",Advanced,Victoria,Bachelor of Graphic Design
Electrical Engineer,"['Circuit Design', 'Embedded Systems']",Fluent,Northern Territory,Bachelor of Electrical Engineering
Architect,"['Building Design', 'Construction Management', 'AutoCAD', '3D Modeling']",Intermediate,Victoria,Master of Architecture
Graphic Designer,"['UI/UX Design', 'Adobe Photoshop', 'Illustrator']",Fluent,Western Australia,Bachelor of Graphic Design
Registered Nurse,"['Medication Administration', 'Patient Care', 'Clinical Assessment']",Fluent,South Australia,Bachelor of Nursing
Mechanical Engineer,"['Thermodynamics', 'Mechanical Design']",Advanced,Regional Australia,Bachelor of Mechanical Engineering
Data Analyst,"['SQL', 'Statistics', 'R', 'Data Visualization']",Basic,ACT,Graduate Diploma in Data Science
Registered Nurse,"['Clinical Assessment', 'Medication Administration', 'Patient Care']",Basic,Northern Territory,Bachelor of Nursing
Project Manager,"['Project Planning', 'Scrum']",Intermediate,New South Wales,Master of Project Management
Data Analyst,"['Data Visualization', 'Statistics', 'Python', 'R']",Fluent,Northern Territory,Graduate Diploma in Data Science
Graphic Designer,"['UI/UX Design', 'InDesign', 'Illustrator', 'Adobe Photoshop']",Basic,Victoria,Bachelor of Graphic Design
Architect,"['AutoCAD', 'Building Design']",Basic,South Australia,Master of Architecture
Graphic Designer,"['Adobe Photoshop', 'InDesign', 'Illustrator']",Intermediate,Tasmania,Bachelor of Graphic Design
ICT Business Analyst,"['SQL', 'Business Process Modeling']",Intermediate,ACT,Master of Business Analytics
Project Manager,"['Scrum', 'Risk Management', 'Team Management']",Advanced,Tasmania,Master of Project Management
Project Manager,"['Risk Management', 'Scrum']",Fluent,New South Wales,Master of Project Management
Registered Nurse,"['Clinical Assessment', 'Patient Care']",Advanced,Regional Australia,Bachelor of Nursing
Network Administrator,"['Network Security', 'Cloud Computing', 'Cisco Routers', 'Troubleshooting']",Intermediate,Regional Australia,Graduate Diploma in Network Security
Data Analyst,"['Python', 'Statistics', 'SQL', 'Data Visualization']",Fluent,Tasmania,Graduate Diploma in Data Science
Architect,"['Building Design', 'AutoCAD', 'Construction Management', '3D Modeling']",Fluent,South Australia,Master of Architecture
Mechanical Engineer,"['Fluid Dynamics', 'Mechanical Design', 'SolidWorks', 'Thermodynamics']",Basic,South Australia,Bachelor of Mechanical Engineering
Teacher,"['Classroom Management', 'Lesson Planning']",Fluent,Victoria,Bachelor of Education
Graphic Designer,"['Adobe Photoshop', 'InDesign', 'UI/UX Design']",Basic,Western Australia,Bachelor of Graphic Design
Early Childhood Teacher,"['Curriculum Development', 'Lesson Planning']",Advanced,ACT,Graduate Diploma in Early Childhood
Civil Engineer,"['Project Management', 'Cost Estimation']",Intermediate,Northern Territory,Bachelor of Civil Engineering
Registered Nurse,"['Patient Care', 'Medication Administration']",Intermediate,Victoria,Bachelor of Nursing
Network Administrator,"['Troubleshooting', 'Network Security', 'Cloud Computing']",Advanced,Western Australia,Graduate Diploma in Network Security
ICT Business Analyst,"['Agile Methodologies', 'Business Process Modeling', 'Systems Analysis', 'SQL']",Basic,New South Wales,Master of Business Analytics
Electrical Engineer,"['Power Systems', 'Embedded Systems', 'Circuit Design', 'Matlab']",Basic,Western Australia,Bachelor of Electrical Engineering
Data Analyst,"['SQL', 'Python', 'Data Visualization']",Intermediate,Tasmania,Graduate Diploma in Data Science
Data Analyst,"['SQL', 'Python', 'Data Visualization', 'Statistics']",Advanced,Western Australia,Graduate Diploma in Data Science
Software Engineer,"['AWS', 'Machine Learning', 'Java', 'C++']",Basic,Victoria,Master of Computer Science
Network Administrator,"['Network Security', 'Cisco Routers']",Intermediate,Tasmania,Graduate Diploma in Network Security
Registered Nurse,"['Clinical Assessment', 'Medication Administration', 'Emergency Response', 'Patient Care']",Fluent,New South Wales,Bachelor of Nursing
Graphic Designer,"['Adobe Photoshop', 'Illustrator', 'UI/UX Design']",Basic,Tasmania,Bachelor of Graphic Design
Mechanical Engineer,"['Thermodynamics', 'Mechanical Design', 'SolidWorks', 'Fluid Dynamics']",Basic,Queensland,Bachelor of Mechanical Engineering
Marketing Specialist,"['Market Research', 'SEO']",Intermediate,Northern Territory,Bachelor of Marketing
ICT Business Analyst,"['Agile Methodologies', 'Systems Analysis', 'SQL']",Fluent,Regional Australia,Master of Business Analytics
ICT Business Analyst,"['Business Process Modeling', 'Systems Analysis']",Intermediate,Western Australia,Master of Business Analytics
Electrical Engineer,"['Power Systems', 'Embedded Systems', 'Circuit Design', 'Matlab']",Basic,Northern Territory,Bachelor of Electrical Engineering
Marketing Specialist,"['Market Research', 'SEO', 'Content Creation', 'Digital Marketing']",Advanced,Regional Australia,Bachelor of Marketing
Software Engineer,"['C++', 'Machine Learning']",Advanced,ACT,Master of Computer Science
Early Childhood Teacher,"['Lesson Planning', 'Childcare', 'Curriculum Development']",Fluent,Western Australia,Graduate Diploma in Early Childhood
Registered Nurse,"['Emergency Response', 'Clinical Assessment']",Basic,Northern Territory,Bachelor of Nursing
Architect,"['AutoCAD', '3D Modeling', 'Building Design', 'Construction Management']",Basic,Western Australia,Master of Architecture
Registered Nurse,"['Patient Care', 'Clinical Assessment', 'Emergency Response']",Fluent,Western Australia,Bachelor of Nursing
Civil Engineer,"['AutoCAD', 'Cost Estimation', 'Structural Analysis', 'Project Management']",Advanced,Victoria,Bachelor of Civil Engineering
Software Engineer,"['AWS', 'C++', 'Java', 'Machine Learning']",Fluent,ACT,Master of Computer Science
Architect,"['Building Design', '3D Modeling']",Fluent,New South Wales,Master of Architecture
Mechanical Engineer,"['Fluid Dynamics', 'SolidWorks']",Intermediate,Tasmania,Bachelor of Mechanical Engineering
Architect,"['Building Design', 'AutoCAD', '3D Modeling', 'Construction Management']",Intermediate,ACT,Master of Architecture
Data Analyst,"['Python', 'Data Visualization']",Intermediate,New South Wales,Graduate Diploma in Data Science
Accountant,"['Budgeting', 'Taxation']",Fluent,Queensland,Bachelor of Accounting
Software Engineer,"['C++', 'Java', 'Python', 'Machine Learning']",Basic,ACT,Master of Computer Science
Civil Engineer,"['AutoCAD', 'Cost Estimation', 'Structural Analysis', 'Project Management']",Fluent,New South Wales,Bachelor of Civil Engineering
Early Childhood Teacher,"['Curriculum Development', 'Childcare', 'Lesson Planning']",Fluent,Western Australia,Graduate Diploma in Early Childhood
Civil Engineer,"['Project Management', 'Cost Estimation', 'AutoCAD', 'Structural Analysis']",Basic,Victoria,Bachelor of Civil Engineering
Early Childhood Teacher,"['Curriculum Development', 'Childcare', 'Lesson Planning']",Advanced,Northern Territory,Graduate Diploma in Early Childhood
Electrical Engineer,"['Matlab', 'Circuit Design', 'Embedded Systems']",Intermediate,Northern Territory,Bachelor of Electrical Engineering
Project Manager,"['Risk Management', 'Scrum']",Advanced,ACT,Master of Project Management
ICT Business Analyst,"['Systems Analysis', 'Agile Methodologies', 'SQL']",Advanced,Tasmania,Master of Business Analytics
Project Manager,"['Project Planning', 'Risk Management', 'Team Management']",Intermediate,New South Wales,Master of Project Management
Early Childhood Teacher,"['Curriculum Development', 'Lesson Planning', 'Childcare']",Fluent,Western Australia,Graduate Diploma in Early Childhood
Marketing Specialist,"['Market Research', 'Content Creation']",Advanced,Western Australia,Bachelor of Marketing
ICT Business Analyst,"['Business Process Modeling', 'SQL', 'Agile Methodologies']",Advanced,Northern Territory,Master of Business Analytics
Civil Engineer,"['Structural Analysis', 'Project Management']",Advanced,Queensland,Bachelor of Civil Engineering
Data Analyst,"['Python', 'Data Visualization', 'SQL', 'Statistics']",Intermediate,New South Wales,Graduate Diploma in Data Science
ICT Business Analyst,"['Agile Methodologies', 'SQL']",Intermediate,Western Australia,Master of Business Analytics
Mechanical Engineer,"['Mechanical Design', 'Thermodynamics', 'Fluid Dynamics']",Advanced,Northern Territory,Bachelor of Mechanical Engineering
Architect,"['Construction Management', '3D Modeling', 'Building Design']",Advanced,ACT,Master of Architecture
Registered Nurse,"['Emergency Response', 'Clinical Assessment']",Advanced,Regional Australia,Bachelor of Nursing
Electrical Engineer,"['Power Systems', 'Circuit Design']",Advanced,Western Australia,Bachelor of Electrical Engineering
Network Administrator,"['Network Security', 'Cisco Routers']",Fluent,Victoria,Graduate Diploma in Network Security
Teacher,"['Classroom Management', 'Curriculum Development', 'Lesson Planning']",Advanced,Queensland,Bachelor of Education
Early Childhood Teacher,"['Lesson Planning', 'Childcare', 'Curriculum Development']",Fluent,Tasmania,Graduate Diploma in Early Childhood
Project Manager,"['Team Management', 'Project Planning', 'Risk Management']",Advanced,Northern Territory,Master of Project Management
Network Administrator,"['Cisco Routers', 'Network Security']",Fluent,Queensland,Graduate Diploma in Network Security
Early Childhood Teacher,"['Lesson Planning', 'Childcare', 'Curriculum Development']",Basic,Victoria,Graduate Diploma in Early Childhood
Network Administrator,"['Network Security', 'Cisco Routers', 'Troubleshooting']",Intermediate,Queensland,Graduate Diploma in Network Security
Project Manager,"['Team Management', 'Project Planning', 'Scrum']",Intermediate,Victoria,Master of Project Management
Software Engineer,"['AWS', 'Python', 'C++', 'Java']",Basic,Western Australia,Master of Computer Science
Early Childhood Teacher,"['Childcare', 'Lesson Planning', 'Curriculum Development']",Fluent,Regional Australia,Graduate Diploma in Early Childhood
Project Manager,"['Team Management', 'Project Planning', 'Risk Management']",Advanced,ACT,Master of Project Management
Project Manager,"['Scrum', 'Risk Management']",Basic,Northern Territory,Master of Project Management
Electrical Engineer,"['Circuit Design', 'Embedded Systems', 'Matlab']",Fluent,Queensland,Bachelor of Electrical Engineering
Early Childhood Teacher,"['Childcare', 'Curriculum Development']",Basic,Victoria,Graduate Diploma in Early Childhood
Early Childhood Teacher,"['Lesson Planning', 'Curriculum Development', 'Childcare']",Basic,ACT,Graduate Diploma in Early Childhood
Architect,"['3D Modeling', 'Building Design', 'Construction Management', 'AutoCAD']",Basic,Tasmania,Master of Architecture
Project Manager,"['Team Management', 'Project Planning']",Fluent,Victoria,Master of Project Management
Electrical Engineer,"['Matlab', 'Power Systems', 'Embedded Systems', 'Circuit Design']",Intermediate,Western Australia,Bachelor of Electrical Engineering
Architect,"['AutoCAD', '3D Modeling', 'Building Design']",Fluent,Tasmania,Master of Architecture
Early Childhood Teacher,"['Lesson Planning', 'Childcare', 'Curriculum Development']",Fluent,New South Wales,Graduate Diploma in Early Childhood
Graphic Designer,"['Illustrator', 'UI/UX Design', 'Adobe Photoshop']",Basic,South Australia,Bachelor of Graphic Design
Data Analyst,"['SQL', 'Statistics', 'R', 'Python']",Fluent,Victoria,Graduate Diploma in Data Science
Network Administrator,"['Troubleshooting', 'Network Security', 'Cloud Computing', 'Cisco Routers']",Advanced,ACT,Graduate Diploma in Network Security
Electrical Engineer,"['Embedded Systems', 'Circuit Design', 'Power Systems']",Advanced,ACT,Bachelor of Electrical Engineering
Accountant,"['Auditing', 'Budgeting', 'Financial Reporting', 'Taxation']",Intermediate,Northern Territory,Bachelor of Accounting
Mechanical Engineer,"['Mechanical Design', 'Thermodynamics', 'Fluid Dynamics']",Basic,New South Wales,Bachelor of Mechanical Engineering
Mechanical Engineer,"['Fluid Dynamics', 'Thermodynamics', 'Mechanical Design']",Basic,Regional Australia,Bachelor of Mechanical Engineering
Mechanical Engineer,"['SolidWorks', 'Mechanical Design', 'Thermodynamics', 'Fluid Dynamics']",Basic,ACT,Bachelor of Mechanical Engineering
Graphic Designer,"['UI/UX Design', 'Illustrator', 'InDesign', 'Adobe Photoshop']",Advanced,Tasmania,Bachelor of Graphic Design
Software Engineer,"['Java', 'C++']",Fluent,Queensland,Master of Computer Science
Architect,"['Building Design', '3D Modeling', 'AutoCAD', 'Construction Management']",Advanced,New South Wales,Master of Architecture
Architect,"['3D Modeling', 'Building Design', 'AutoCAD', 'Construction Management']",Intermediate,New South Wales,Master of Architecture
Graphic Designer,"['InDesign', 'Illustrator', 'Adobe Photoshop', 'UI/UX Design']",Basic,South Australia,Bachelor of Graphic Design
Software Engineer,"['Machine Learning', 'Python']",Basic,Western Australia,Master of Computer Science
Architect,"['3D Modeling', 'Building Design']",Intermediate,New South Wales,Master of Architecture
Marketing Specialist,"['SEO', 'Digital Marketing', 'Market Research']",Fluent,ACT,Bachelor of Marketing
Marketing Specialist,"['Digital Marketing', 'Content Creation']",Basic,New South Wales,Bachelor of Marketing
Mechanical Engineer,"['Fluid Dynamics', 'Mechanical Design', 'SolidWorks']",Intermediate,Western Australia,Bachelor of Mechanical Engineering
Network Administrator,"['Network Security', 'Troubleshooting', 'Cisco Routers']",Advanced,Tasmania,Graduate Diploma in Network Security
Architect,"['Building Design', 'Construction Management', 'AutoCAD']",Basic,ACT,Master of Architecture
Accountant,"['Payroll', 'Financial Reporting']",Intermediate,New South Wales,Bachelor of Accounting
Software Engineer,"['Python', 'C++', 'Java', 'AWS']",Advanced,Northern Territory,Master of Computer Science
Data Analyst,"['Statistics', 'Python', 'SQL']",Advanced,Victoria,Graduate Diploma in Data Science
Network Administrator,"['Cisco Routers', 'Cloud Computing', 'Network Security', 'Troubleshooting']",Intermediate,Western Australia,Graduate Diploma in Network Security
Graphic Designer,"['InDesign', 'Adobe Photoshop', 'UI/UX Design', 'Illustrator']",Basic,Queensland,Bachelor of Graphic Design
Registered Nurse,"['Patient Care', 'Clinical Assessment']",Advanced,Regional Australia,Bachelor of Nursing
Early Childhood Teacher,"['Curriculum Development', 'Lesson Planning', 'Childcare']",Intermediate,Tasmania,Graduate Diploma in Early Childhood
Civil Engineer,"['Project Management', 'AutoCAD', 'Structural Analysis']",Advanced,Northern Territory,Bachelor of Civil Engineering
Network Administrator,"['Troubleshooting', 'Cloud Computing']",Intermediate,Western Australia,Graduate Diploma in Network Security
Network Administrator,"['Network Security', 'Cloud Computing']",Basic,Tasmania,Graduate Diploma in Network Security
Software Engineer,"['Java', 'C++']",Intermediate,ACT,Master of Computer Science
Architect,"['3D Modeling', 'AutoCAD', 'Building Design']",Advanced,Northern Territory,Master of Architecture
Network Administrator,"['Troubleshooting', 'Cloud Computing']",Basic,Regional Australia,Graduate Diploma in Network Security
Project Manager,"['Scrum', 'Risk Management', 'Team Management']",Advanced,Western Australia,Master of Project Management
Project Manager,"['Project Planning', 'Team Management', 'Scrum']",Intermediate,Victoria,Master of Project Management
Software Engineer,"['Java', 'Machine Learning', 'AWS', 'Python']",Intermediate,Northern Territory,Master of Computer Science
Network Administrator,"['Cloud Computing', 'Network Security', 'Cisco Routers']",Intermediate,South Australia,Graduate Diploma in Network Security
Civil Engineer,"['Structural Analysis', 'Cost Estimation', 'Project Management', 'AutoCAD']",Advanced,Victoria,Bachelor of Civil Engineering
Teacher,"['Curriculum Development', 'Classroom Management', 'Lesson Planning']",Basic,South Australia,Bachelor of Education
Electrical Engineer,"['Circuit Design', 'Matlab', 'Power Systems']",Advanced,Northern Territory,Bachelor of Electrical Engineering
Teacher,"['Lesson Planning', 'Curriculum Development', 'Classroom Management']",Fluent,Regional Australia,Bachelor of Education
ICT Business Analyst,"['SQL', 'Business Process Modeling', 'Systems Analysis']",Advanced,Queensland,Master of Business Analytics
ICT Business Analyst,"['Systems Analysis', 'Agile Methodologies']",Basic,New South Wales,Master of Business Analytics
Electrical Engineer,"['Circuit Design', 'Embedded Systems', 'Matlab']",Basic,Victoria,Bachelor of Electrical Engineering
Early Childhood Teacher,"['Lesson Planning', 'Curriculum Development', 'Childcare']",Basic,Queensland,Graduate Diploma in Early Childhood
Software Engineer,"['Java', 'C++', 'AWS', 'Python']",Intermediate,Northern Territory,Master of Computer Science
Project Manager,"['Team Management', 'Scrum', 'Risk Management']",Intermediate,Tasmania,Master of Project Management
Registered Nurse,"['Patient Care', 'Emergency Response', 'Medication Administration']",Basic,New South Wales,Bachelor of Nursing
Teacher,"['Curriculum Development', 'Classroom Management', 'Lesson Planning']",Advanced,Northern Territory,Bachelor of Education
Software Engineer,"['Python', 'AWS', 'Java']",Fluent,Tasmania,Master of Computer Science
Civil Engineer,"['Cost Estimation', 'AutoCAD']",Fluent,Northern Territory,Bachelor of Civil Engineering
